"Sl","Product Image","Name (English)","Name (Bangla)","Category","Product Price","Quantity","Discount","Featured","Status","Action"
"36","","2 Pieces Kashmiri Herbal Hair Oil (Gift Select Plus Shampoo)","২ পিস কাশ্মিরি হারবাল হেয়ার অয়েল (সিলেক্ট প্লাস শ্যাম্পু ফ্রি)","Oil","2800","27","৳400 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"37","","V-C Injection (Full Box-10 Pcs)","ভিসি ইঞ্জেকশন (১ বক্স-১০ পিস)","Skin Care","2000","50","৳800 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"38","","V-C Injection (3 Pieces)","ভিসি ইঞ্জেকশন-৩ পিস","Skin Care","600","200","৳100 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"39","","V-C Injection (1 Piece)","ভিসি ইঞ্জেকশন-১ পিস","Skin Care","200","93","No Discount","","Active","Edit info                                                                                                                                                                                                                         Delete"
"40","","Bunny Backpack For Children","Bunny Backpack For Children","Bag","3200","21","৳1350 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"41","","Bolail Rice Whitening Cleanser","বোলাইল রাইস হোয়াটেনিং ক্লিন্সার","Cleanser/Face Wash","1050","140","৳200 off","","Disable","Edit info                                                                                                                                                                                                                         Delete"
"42","","Watermelon & Hya Facial Foam","Watermelon & Hya Facial Foam","Cleanser/Face Wash","1050","32","৳260 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"43","","Select Plus Shampoo","Select Plus Shampoo","Shampoo","175","180","No Discount","","Active","Edit info                                                                                                                                                                                                                         Delete"
"44","","AROMATICA Rose Petal Brightening Massage Gel","AROMATICA Rose Petal Brightening Massage Gel","Soothing Gel","1500","1565","৳80 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
"45","","Skin Repair Combo (Vitamin C & E Soothing Gel+ Pores Serum+ Face Massage Cream)","Skin Repair Combo (Soothing Gel+ Pores Serum+ Face Massage Cream)","Combo","3150","96","৳350 off","","Active","Edit info                                                                                                                                                                                                                         Delete"
